被験者名,ID15
試行事例,通常嚥下
隆起部上センサ,1
最大挙上時間,7
安静時間,30
CH1,CH2,Difference,LOG,Detection
1.2272,1.3968,0.0,0,0
1.2336,1.4016,0.0,0,0
1.256,1.4176,0.0,0,0
1.272,1.4304000000000001,0.0,0,0
1.2768000000000002,1.4320000000000002,0.009920000000000017,0,0
1.2816,1.4352,0.01088,0,0
1.2816,1.4368,0.009600000000000008,0,0
1.2784,1.4352,0.005760000000000032,0,0
1.2768000000000002,1.4336,0.0028799999999999937,0,0
1.2736,1.4304000000000001,0.0025599999999999846,0,0
1.272,1.4304000000000001,0.0019200000000000107,0,0
1.272,1.4304000000000001,0.0019200000000000107,0,0
1.2784,1.4384000000000001,0.0025599999999999846,0,0
1.2784,1.4384000000000001,0.0022400000000000198,0,0
1.272,1.4336,0.0028799999999999937,0,0
1.2592,1.4240000000000002,0.005119999999999969,0,0
1.2464,1.4144,0.007679999999999998,0,0
1.24,1.4112,0.007679999999999998,0,0
1.2336,1.4064,0.00895999999999999,0,0
1.2256,1.4000000000000001,0.00928,0,0
1.2208,1.3968,0.007679999999999998,0,0
1.216,1.3968,0.006079999999999997,0,0
1.2176,1.4000000000000001,0.005120000000000013,0,0
1.2224000000000002,1.4048,0.004800000000000049,0,0
1.2224000000000002,1.4048,0.0032000000000000474,0,0
1.2192,1.4032,0.0028800000000000826,0,0
1.2144000000000001,1.3984,0.002880000000000038,0,0
1.2112,1.3968,0.0032000000000000474,0,0
1.2048,1.3920000000000001,0.003520000000000012,0,0
1.1984000000000001,1.3888,0.004800000000000004,0,0
1.1952,1.3856000000000002,0.004800000000000004,0,0
1.1968,1.3840000000000001,0.00416000000000003,0,0
1.2048,1.3920000000000001,0.005120000000000013,0,0
1.2096,1.3952,0.004800000000000004,0,0
1.2112,1.3984,0.0038400000000000213,0,0
1.2112,1.3984,0.0032000000000000028,0,0
1.1936,1.3904,0.0064000000000000055,0,0
1.12,1.3568,0.019519999999999982,0,0
1.064,1.3376000000000001,0.02976000000000001,0,0
1.0576,1.3424,0.03071999999999999,0,0
1.0784,1.3664,0.03487999999999998,0,1
1.0672000000000001,1.3536000000000001,0.03359999999999994,0,0
1.0512000000000001,1.328,0.022079999999999968,0,0
1.1472,1.3712,0.03007999999999993,1,0
1.2032,1.4112,0.039999999999999945,0,0
1.1984000000000001,1.4208,0.036799999999999944,0,0
1.1808,1.4208,0.03807999999999998,0,0
1.1888,1.4432,0.03647999999999998,0,0
1.1776,1.4448,0.019520000000000027,0,0
1.1344,1.4256,0.016959999999999996,0,0
1.1472,1.4624000000000001,0.01856,1,0
1.1568,1.4816,0.016959999999999996,0,0
1.1760000000000002,1.4912,0.019200000000000016,0,0
1.216,1.5104,0.02495999999999996,0,0
1.24,1.5168000000000001,0.021119999999999983,0,0
1.2432,1.52,0.019200000000000016,0,0
1.2448000000000001,1.5152,0.017600000000000015,0,0
1.2368000000000001,1.5104,0.015359999999999995,0,0
1.2336,1.504,0.008000000000000052,0,0
1.2352,1.4992,0.0035200000000000565,0,0
1.2448000000000001,1.4992,0.004800000000000049,0,0
1.2576,1.4992,0.007040000000000024,0,0
1.2688000000000001,1.5008000000000001,0.007680000000000043,0,0
1.288,1.5104,0.01088,0,0
1.2992000000000001,1.5152,0.012800000000000011,0,0
1.3104,1.5184,0.013119999999999975,0,0
1.3168,1.52,0.011839999999999984,0,0
1.3232000000000002,1.5168000000000001,0.01088,0,0
1.3312000000000002,1.5168000000000001,0.008640000000000026,0,0
1.3408,1.5184,0.008319999999999972,0,0
1.344,1.5184,0.006720000000000015,0,0
1.3456000000000001,1.5168000000000001,0.005760000000000032,0,0
1.3472000000000002,1.5216,0.004800000000000004,0,0
1.3552,1.5312000000000001,0.00479999999999996,0,0
1.36,1.536,0.0038400000000000213,0,0
1.3648,1.5376,0.004159999999999986,0,0
1.3616000000000001,1.5376,0.004479999999999951,0,0
1.3584,1.5328000000000002,0.00479999999999996,0,0
1.3504,1.528,0.004800000000000004,0,0
1.3296000000000001,1.5136,0.007999999999999962,0,0
1.304,1.4976,0.012159999999999994,0,0
1.2912000000000001,1.4928000000000001,0.014080000000000004,0,0
1.2944,1.496,0.014079999999999959,0,0
1.3008,1.5024000000000002,0.01375999999999995,0,0
1.3072000000000001,1.5024000000000002,0.01088,0,0
1.3104,1.5008000000000001,0.006399999999999961,0,0
1.3056,1.4976,0.00479999999999996,0,0
1.3024,1.4944000000000002,0.004800000000000004,0,0
1.3008,1.4944000000000002,0.0038400000000000213,0,0
