被験者名,ID7
試行事例,t2
隆起部上センサ,1
最大挙上時間,24
安静時間,30
CH1,CH2,Difference,LOG,Detection
1.8048000000000002,1.5888,0.0,0,0
1.8048000000000002,1.5904,0.0,0,0
1.7968000000000002,1.5856000000000001,0.0,0,0
1.7968000000000002,1.5792000000000002,0.0,0,0
1.7952000000000001,1.5712000000000002,0.0019200000000000107,0,0
1.7952000000000001,1.5568000000000002,0.0019200000000000107,0,0
1.7952000000000001,1.5504,0.0019200000000000107,0,0
1.808,1.5632000000000001,0.0028799999999999937,0,0
1.8256000000000001,1.5728,0.0064000000000000055,0,0
1.8272000000000002,1.576,0.0064000000000000055,0,0
1.816,1.5696,0.008640000000000026,0,0
1.8,1.56,0.011840000000000028,0,0
1.7904,1.5584,0.011200000000000054,0,0
1.784,1.5536,0.008960000000000034,0,0
1.784,1.552,0.008640000000000026,0,0
1.7792000000000001,1.552,0.007359999999999989,0,0
1.776,1.5552000000000001,0.004800000000000004,0,0
1.7744,1.56,0.0032000000000000028,0,0
1.768,1.5696,0.0032000000000000028,0,0
1.76,1.5808,0.004800000000000004,0,0
1.7568000000000001,1.5824,0.004479999999999995,0,0
1.7504000000000002,1.5776000000000001,0.005119999999999969,0,0
1.7392,1.5712000000000002,0.0070399999999999794,0,0
1.7376,1.568,0.006079999999999997,0,0
1.7424000000000002,1.568,0.005440000000000023,0,0
1.7568000000000001,1.5808,0.007680000000000043,0,0
1.7664000000000002,1.5872000000000002,0.00832000000000006,0,0
1.7728000000000002,1.5984,0.007360000000000033,0,0
1.7728000000000002,1.5984,0.007040000000000024,0,0
1.7616,1.5936000000000001,0.008320000000000017,0,0
1.7536,1.5856000000000001,0.007040000000000024,0,0
1.752,1.5824,0.005440000000000023,0,0
1.7536,1.5792000000000002,0.0044800000000000395,0,0
1.7504000000000002,1.576,0.005120000000000013,0,0
1.7504000000000002,1.584,0.0028799999999999937,0,0
1.7584000000000002,1.592,0.0028799999999999937,0,0
1.7664000000000002,1.6016000000000001,0.004159999999999986,0,0
1.7648000000000001,1.6016000000000001,0.004159999999999986,0,0
1.7632,1.5984,0.0038400000000000213,0,0
1.7632,1.5952000000000002,0.0038400000000000213,0,0
1.7728000000000002,1.5936000000000001,0.00416000000000003,0,0
1.7808000000000002,1.5824,0.00416000000000003,0,0
1.7792000000000001,1.5712000000000002,0.00416000000000003,0,0
1.7776,1.5728,0.00416000000000003,0,0
1.784,1.5808,0.005440000000000023,0,0
1.7904,1.5904,0.004800000000000004,0,0
1.7776,1.592,0.005759999999999987,0,0
1.7536,1.5888,0.010239999999999982,0,0
1.72,1.5712000000000002,0.016639999999999988,0,0
1.6832,1.5344,0.022719999999999983,0,0
1.6592,1.4896,0.026239999999999996,0,0
1.6272,1.4608,0.030080000000000016,0,0
1.5872000000000002,1.5504,0.033279999999999976,0,0
1.6576000000000002,1.7408000000000001,0.04063999999999997,0,1
1.7472,1.8544,0.051199999999999954,0,0
1.7888000000000002,1.8992,0.05471999999999997,0,0
1.7904,1.9056000000000002,0.048639999999999926,0,0
1.7712,1.8736000000000002,0.04447999999999994,0,0
1.7232,1.7888000000000002,0.039999999999999945,0,0
1.6816,1.6704,0.030399999999999983,1,0
1.6864000000000001,1.5904,0.023039999999999995,0,0
1.6992,1.5632000000000001,0.025280000000000014,0,0
1.7088,1.5696,0.023360000000000047,0,0
1.7184000000000001,1.5824,0.015680000000000048,0,0
1.72,1.5872000000000002,0.007679999999999998,0,0
1.7184000000000001,1.5776000000000001,0.007039999999999935,0,0
1.7184000000000001,1.5584,0.004479999999999951,0,0
1.7248,1.5504,0.0038399999999999324,0,0
1.7296,1.5456,0.0028799999999999048,0,0
1.7296,1.5456,0.00255999999999994,0,0
1.728,1.5408000000000002,0.0025599999999999846,0,0
1.7296,1.5424,0.0028799999999999937,0,0
1.728,1.544,0.0019200000000000107,0,0
1.7232,1.5392000000000001,0.0019200000000000107,0,0
1.7184000000000001,1.5328000000000002,0.0028799999999999937,0,0
1.7104000000000001,1.5296,0.004159999999999986,0,0
1.7056,1.5296,0.004800000000000004,0,0
1.7072,1.5296,0.004800000000000004,0,0
1.7168,1.5344,0.005760000000000032,0,0
