被験者名,ID6
試行事例,M1
隆起部上センサ,1
最大挙上時間,49
安静時間,30
CH1,CH2,Difference,LOG,Detection
1.4192,1.8176,0.0,0,0
1.4192,1.816,0.0,0,0
1.4256,1.8208000000000002,0.0,0,0
1.4288,1.8224,0.0,0,0
1.4320000000000002,1.8272000000000002,0.002560000000000029,0,0
1.4416,1.8352000000000002,0.004479999999999995,0,0
1.4480000000000002,1.8416000000000001,0.005760000000000032,0,0
1.4496,1.8432000000000002,0.004800000000000004,0,0
1.4464000000000001,1.8432000000000002,0.00479999999999996,0,0
1.4416,1.84,0.005119999999999969,0,0
1.4384000000000001,1.8352000000000002,0.0038399999999999767,0,0
1.4352,1.8304,0.0031999999999999585,0,0
1.4272,1.8224,0.004479999999999995,0,0
1.4096,1.8064,0.007360000000000033,0,0
1.3888,1.7904,0.010559999999999991,0,0
1.368,1.7744,0.014080000000000004,0,0
1.3616000000000001,1.7696,0.014719999999999978,0,0
1.3616000000000001,1.768,0.013119999999999975,0,0
1.3616000000000001,1.768,0.009599999999999964,0,0
1.36,1.7664000000000002,0.005759999999999987,0,0
1.3616000000000001,1.768,0.0019200000000000107,0,0
1.3648,1.7696,0.0012799999999999923,0,0
1.3616000000000001,1.768,0.0019199999999999662,0,0
1.3552,1.7632,0.0032000000000000028,0,0
1.3536000000000001,1.7632,0.0031999999999999585,0,0
1.3584,1.7664000000000002,0.0038399999999999324,0,0
1.3584,1.7664000000000002,0.0031999999999999585,0,0
1.3552,1.7648000000000001,0.0032000000000000028,0,0
1.3504,1.7616,0.0028799999999999494,0,0
1.3504,1.76,0.0025599999999999846,0,0
1.3552,1.7616,0.0025599999999999846,0,0
1.3584,1.7664000000000002,0.0032000000000000028,0,0
1.3648,1.7728000000000002,0.0038399999999999767,0,0
1.3728,1.7792000000000001,0.004479999999999995,0,0
1.3696000000000002,1.776,0.005119999999999969,0,0
1.3632,1.7696,0.005440000000000023,0,0
1.352,1.7568000000000001,0.0070399999999999794,0,0
1.3248,1.7232,0.01120000000000001,0,0
1.2944,1.7040000000000002,0.015680000000000006,0,0
1.288,1.7040000000000002,0.016320000000000022,0,0
1.2864,1.7024000000000001,0.015359999999999995,0,0
1.2864,1.7008,0.01312000000000002,0,0
1.2688000000000001,1.6784000000000001,0.011199999999999965,0,0
1.1904000000000001,1.6048,0.020799999999999975,0,0
1.1488,1.5328000000000002,0.027839999999999997,0,0
1.1488,1.5328000000000002,0.02751999999999999,0,0
1.1536,1.5376,0.02847999999999997,1,0
1.1456,1.528,0.026560000000000007,0,0
1.1328,1.5216,0.013439999999999985,0,0
1.1488,1.5456,0.008319999999999972,0,0
1.1728,1.5648,0.013119999999999975,0,0
1.1728,1.5664,0.012159999999999994,0,0
1.1712,1.576,0.01088,0,0
1.1648,1.5824,0.009600000000000008,0,0
1.1536,1.5824,0.008640000000000026,0,0
1.1408,1.5776000000000001,0.0064000000000000055,0,0
1.1296000000000002,1.5728,0.008639999999999981,0,0
1.1216000000000002,1.5712000000000002,0.009919999999999974,0,0
1.1168,1.5712000000000002,0.009600000000000008,0,0
1.1184,1.5776000000000001,0.007679999999999998,0,0
1.12,1.584,0.005440000000000023,0,0
1.12,1.5856000000000001,0.0032000000000000474,0,0
1.1168,1.5856000000000001,0.002240000000000064,0,0
1.1152,1.5808,0.0016000000000000458,0,0
1.112,1.5808,0.0019200000000000107,0,0
1.112,1.5824,0.0016000000000000014,0,0
1.1152,1.5856000000000001,0.0022399999999999755,0,0
1.1152,1.584,0.001599999999999957,0,0
1.1152,1.5824,0.0012799999999999478,0,0
1.1136000000000001,1.584,9.599999999999387E-4,0,0
1.112,1.584,0.0012799999999999478,0,0
1.1104,1.584,9.599999999999831E-4,0,0
1.1152,1.5872000000000002,0.0019199999999999662,0,0
1.1216000000000002,1.5904,0.0032000000000000028,0,0
1.1232,1.5904,0.0032000000000000028,0,0
1.1216000000000002,1.5888,0.0031999999999999585,0,0
1.1168,1.5856000000000001,0.0038399999999999767,0,0
1.1136000000000001,1.5808,0.0035199999999999676,0,0
1.112,1.5792000000000002,0.00255999999999994,0,0
1.112,1.5808,0.0022399999999999755,0,0
1.1152,1.5808,0.0025599999999999846,0,0
1.1152,1.5808,0.001599999999999957,0,0
1.1152,1.5824,9.599999999999831E-4,0,0
1.1152,1.5824,6.399999999999739E-4,0,0
1.1152,1.584,6.399999999999739E-4,0,0
1.1136000000000001,1.584,3.1999999999996474E-4,0,0
1.1184,1.5904,0.0012799999999999478,0,0
1.1216000000000002,1.592,0.0019199999999999662,0,0
1.1248,1.5936000000000001,0.00255999999999994,0,0
1.1232,1.5952000000000002,0.0028799999999999494,0,0
1.1264,1.6,0.0032000000000000028,0,0
1.1344,1.6112000000000002,0.0038400000000000213,0,0
1.2096,1.7120000000000002,0.01823999999999999,0,0
1.3152000000000001,1.8144,0.038720000000000046,0,0
1.3392000000000002,1.8192000000000002,0.04320000000000004,0,0
1.336,1.8064,0.04320000000000004,1,0
1.3312000000000002,1.784,0.04256000000000002,0,0
1.3264,1.7728000000000002,0.02848000000000006,0,0
1.3152000000000001,1.76,0.009600000000000008,0,0
1.3072000000000001,1.7584000000000002,0.0064000000000000055,0,0
1.312,1.7552,0.006719999999999971,0,0
1.3328,1.7568000000000001,0.009919999999999974,0,0
1.3536000000000001,1.7552,0.013119999999999975,0,0
1.3712,1.752,0.014399999999999968,0,0
1.3808,1.7424000000000002,0.014719999999999978,0,0
1.3872,1.7312,0.015039999999999987,0,0
1.3968,1.7216,0.012800000000000011,0,0
