被験者名,ID6
試行事例,M3
隆起部上センサ,1
最大挙上時間,121
安静時間,30
CH1,CH2,Difference,LOG,Detection
1.4144,1.7648000000000001,0.0,0,0
1.4224,1.7776,0.0,0,0
1.4112,1.7712,0.0,0,0
1.4016,1.7648000000000001,0.0,0,0
1.3968,1.76,0.006720000000000015,0,0
1.3984,1.7616,0.007040000000000024,0,0
1.3952,1.7616,0.006080000000000041,0,0
1.3936000000000002,1.7584000000000002,0.004159999999999986,0,0
1.3920000000000001,1.7632,0.0025599999999999846,0,0
1.3952,1.7664000000000002,0.0022399999999999755,0,0
1.3952,1.7648000000000001,0.0019199999999999662,0,0
1.3968,1.7664000000000002,0.001599999999999957,0,0
1.3968,1.768,0.0012799999999999923,0,0
1.3920000000000001,1.7648000000000001,0.0019199999999999662,0,0
1.3888,1.7616,0.0019200000000000107,0,0
1.3904,1.7632,0.0022400000000000198,0,0
1.3920000000000001,1.7648000000000001,0.0022400000000000198,0,0
1.3888,1.7648000000000001,0.002880000000000038,0,0
1.3872,1.7632,0.002240000000000064,0,0
1.3840000000000001,1.7616,0.0022400000000000198,0,0
1.3856000000000002,1.7616,0.0022400000000000198,0,0
1.3888,1.7648000000000001,0.0025599999999999846,0,0
1.3984,1.7728000000000002,0.0038399999999999767,0,0
1.4128,1.7824,0.006399999999999961,0,0
1.4256,1.792,0.008319999999999972,0,0
1.4320000000000002,1.7936,0.00928,0,0
1.4272,1.7952000000000001,0.009600000000000053,0,0
1.4256,1.7984,0.008000000000000052,0,0
1.4224,1.7968000000000002,0.005760000000000032,0,0
1.4208,1.7968000000000002,0.0035200000000000565,0,0
1.4208,1.7968000000000002,0.0022400000000000198,0,0
1.4144,1.792,0.0025599999999999846,0,0
1.4048,1.784,0.004159999999999986,0,0
1.3968,1.7776,0.005120000000000013,0,0
1.3888,1.7712,0.0064000000000000055,0,0
1.3808,1.768,0.008000000000000007,0,0
1.3648,1.7584000000000002,0.009920000000000017,0,0
1.3472000000000002,1.7392,0.011519999999999975,0,0
1.3152000000000001,1.7168,0.01631999999999998,0,0
1.2896,1.7056,0.01983999999999999,0,0
1.272,1.6880000000000002,0.02176,0,0
1.2544,1.6672,0.02208000000000001,0,0
1.2416,1.6464,0.021120000000000028,0,0
1.2192,1.6112000000000002,0.019200000000000016,0,0
1.1488,1.5504,0.028160000000000008,0,0
1.1136000000000001,1.5216,0.03167999999999997,0,1
1.1184,1.5376,0.029119999999999945,1,0
1.1104,1.5328000000000002,0.028159999999999963,0,0
